,Logisitic,XGBOOST,Tree,LGBM,CatBoost,SVM,RandomForestClassifier
0,0.6084668076961821,0.5984504450052954,0.5677227544861272,0.5887240368201384,0.592340981053583,0.6031543783130365,0.6081292080838772
1,0.5758012015757539,0.5744154827060473,0.546878314168188,0.581174346321398,0.5814949991751404,0.5680069578270115,0.5821816268407514
2,0.6237411482198427,0.6114262494588877,0.5903630284863286,0.6181782417049869,0.6178808001110812,0.6164357920930903,0.6260151810922436
3,0.5882377238181349,0.6065929896038723,0.568390034532719,0.5983646887516295,0.6064717982795371,0.5872559379209923,0.617890562872425
4,0.6124115348722362,0.6023708109560588,0.5781847445994968,0.6016500176113235,0.5970143359804787,0.606043316593498,0.6052689630380078
mean,0.6017316832364299,0.5986511955460323,0.5703077752545719,0.5976182662418953,0.5990405829199641,0.5961792765495257,0.607897108385461
