,Logisitic,XGBOOST,Tree,LGBM,CatBoost,SVM,RandomForestClassifier
0,0.5810139038675919,0.573917175942569,0.5712654916101108,0.5724606105500906,0.568399566434633,0.5205830074330678,0.5531172042659346
1,0.5803704883487295,0.6104257022208065,0.5952793228405195,0.5874832221160418,0.595878289894609,0.5729582710543726,0.5694794976299963
2,0.5720075270708056,0.5709164009289188,0.5664909383276923,0.5519224214978363,0.5640492178336467,0.5537692912914765,0.5484949484145473
3,0.5549913577422646,0.5847349768147834,0.5799172812473901,0.5715686968709943,0.5853695291422014,0.48618963582687885,0.560614725971437
4,0.5650137898551316,0.5733128867761688,0.5662974851551461,0.5667501136676114,0.5698851616802659,0.4912972809618322,0.5534019967383521
mean,0.5706794133769046,0.5826614285366493,0.5758501038361716,0.5700370129405149,0.5767163529970711,0.5249594973135256,0.5570216746040535
