Model,Score
BalancedRandomForestClassifier,0.6726394816718727
XGBOOST,0.5797643936058815
CatBoost,0.5738065338136913
Tree,0.5723082733269382
LGBM,0.5691003573308002
Logisitic,0.558455184439207
SVM,0.5
